createdat,createdby,modifiedat,modifiedby,codigo,descripcion,tipoorden,claseorden,moneda_code,fechainicio,valorinversion,liberado,division_codigo,centrologistico_codigo,centrocosto_codigo
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600929,FP2021_041 RIBON EJE MEZCLADORA ABA,01,Y600,HNL,2021-08-06,335500.0000,t,1002,1000,1132000002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600930,FP2021_042 EQUIPO NIR ABA,01,Y600,HNL,2021-08-06,1763696.0000,t,1002,1000,1132000002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600980,FP2021_042_04 AIRE ACOND 900O BTU MOLIEN,01,Y600,HNL,2021-11-19,9500.0000,t,1002,1000,1132000002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600969,FP2021_042_01 ESCRITORIO ITALIA ABA,01,Y600,HNL,2021-11-10,7652.0000,t,1000,1000,1132000002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600982,FP2021_042_03 EQUIPO NIRR MOLIENDA,01,Y600,HNL,2021-12-10,19545.0000,t,1002,1000,1132000002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601105,FP2022_031 COMPUTADORA ADMON ABA,01,Y600,HNL,2022-05-31,21900.0000,t,1002,1000,1132000099
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601258,FP2023_010 BOMBA MOTOPULVERIZ ABA,01,Y600,HNL,2023-01-23,15600.0000,t,1002,1000,1132000099
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601720,FP2024_088  TANQUE DE DIESEL PPH,01,Y600,HNL,2024-07-25,32000.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601351,FP2023_064 LAPTOP LATITUD 5430 PPH,01,Y600,HNL,2023-05-17,30200.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600241,PP2019-017 BOMBA VACIO APPH/PPH,01,Y600,HNL,2019-04-16,285500.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601323,FP2023_042 IMPRESORA MULT PPH,01,Y600,HNL,2023-03-15,5150.0000,t,1000,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601363,FP2023_075 ESCALERA PPH,01,Y600,HNL,2023-05-26,11850.0000,t,1004,1001,1131800001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601393,FP2023_106 BOMBA CENTRIFUGA IHM/PPH,01,Y600,HNL,2023-05-30,53490.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601401,FP2023_108 TANQUE DE AGUA PPH,01,Y600,HNL,2023-06-19,53500.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600500,FP2019_095 COMPUTADORA PORTATIL APPH,01,Y600,HNL,2019-12-02,28700.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600501,FP2019-096 GRABADORA DIGITAL APPH/PPh,01,Y600,HNL,2019-12-02,12700.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600625,FP2020_042 BIOFILTRO P/CONT-GAS PPH,01,Y600,HNL,2020-04-17,3900000.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600702,FP2020_074 ACONDICIONAMIE COMEDOR PPH,01,Y600,HNL,2020-09-04,69400.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601301,FP2023_033 AIRE ACOND. PPH SALA MONI,01,Y600,HNL,2023-02-28,63200.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601302,FP2023_032 AIRE ACOND. PPH JUNTAS,01,Y600,HNL,2023-02-28,63200.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601344,FP2023_060 BASCULA DE PESAJE PPH,01,Y600,HNL,2023-05-02,24000.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601286,FP2023_029 BOMBA CALDERA PPH,01,Y600,HNL,2023-02-20,99120.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601287,FP2023_028 BOMBA NORTH 3000 PSI PPH,01,Y600,HNL,2023-02-20,54290.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601263,FP2023_016 Pila de Retencion de Combust.,01,Y600,HNL,2023-01-31,29013.0700,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601717,FP2024_087  MEDIDOR TERMOHIGROM. PPH,01,Y600,HNL,2024-07-19,7800.0000,t,1004,1001,1133000001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600860,FP2021_029 ARCO SANITARIO TZB,01,Y600,HNL,2021-06-22,130000.0000,t,1000,2020,1129900099
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600302,PP2019-008 BEBEDERO DE NIPPLE SEC 01 REP,01,Y600,HNL,2019-06-25,150000.0000,t,1000,2120,1121201001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600301,PP2019-009 BEBEDERO DE NIPPLE SEC 01 REP,01,Y600,HNL,2019-06-25,150000.0000,t,1000,2120,1121201001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600310,PP2019-004 COMEDERO CADENA S1 POSTURA,01,Y600,HNL,2019-06-26,525000.0000,t,1000,2120,1121201001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600311,PP2019-005 COMEDERO CADENA S1 POSTURA,01,Y600,HNL,2019-06-26,525000.0000,t,1000,2120,1121201001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600347,PP2019_007 COMEDERO CAD SEC 6 REP/PAV,01,Y600,HNL,2019-08-20,525000.0000,t,1000,2120,1121201006
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600348,PP2019_006 COMEDERO CAD SEC 6 REP/PAV,01,Y600,HNL,2019-08-20,525000.0000,t,1000,2120,1121201006
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600349,PP2019_010 BEBEDEROS NIPLE SEC 6 REP/PAV,01,Y600,HNL,2019-08-20,150000.0000,t,1000,2120,1121201006
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600350,PP2019_011 BEBEDEROS NIPLE SEC 6 REP/PAV,01,Y600,HNL,2019-08-20,150000.0000,t,1000,2120,1121201006
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600924,FP2021_036 INST. TRANSF 25KVA REPRO,01,Y600,HNL,2021-08-04,51200.0000,t,1000,2120,1129900099
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601259,FP2023_011 TANQUE DE AGUA REP,01,Y600,HNL,2023-01-26,4150.0000,t,1000,2120,1121201002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601260,FP2023_012 TANQUE DE AGUA REP,01,Y600,HNL,2023-01-26,4150.0000,t,1000,2120,1121201007
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601814,FP2024_138 TANQUE ROTOPLAST SECTOR 6,01,Y600,HNL,2024-10-28,4000.0000,t,1000,2120,1121201006
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600260,PP2019-024 CORTINAS GALERAS GE/TZA,01,Y600,HNL,2019-04-25,490000.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600271,PP2019-069 PILA ALMAC. DE AGUA TZA,01,Y600,HNL,2019-04-26,370000.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600283,PP2019-079 ROTOTANQUE NA 2/2,01,Y600,HNL,2019-05-11,4300.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600210,PP2019-078 SUSTITUCION ROTOPLAS GE/TZA,01,Y600,HNL,2019-06-25,4300.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600345,PP2019_125 MOTOGUADAÑA TIZ 1A/PAV,01,Y600,HNL,2019-08-01,14000.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600684,FP2020_065-4 RELOJ REC FACIAL TZA/GE,01,Y600,HNL,2020-08-09,5650.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601303,FP2023_034 BOMBA NORTH PRESION TZA,01,Y600,HNL,2023-02-28,54300.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601252,FP2023_004 LAVADORA MABE G.TZA,01,Y600,HNL,2023-01-10,17000.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601254,FP2023_006 2 TANQUES DE AGUA TZA,01,Y600,HNL,2023-01-16,8200.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601523,FP2023_204 CRIADORAS DE PRUEBA TZA,01,Y600,HNL,2023-12-05,308900.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601696,FP2024_066  2TANQUES  AGUA  TIZATILLO 1A,01,Y600,HNL,2024-06-25,8800.0000,t,1000,2300,1123101001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600261,PP2019-025 CORTINAS GALERAS GE/TZB,01,Y600,HNL,2019-08-27,490000.0000,t,1000,2301,1123102001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600266,PP2019-126 SUSTITUCION MOTOGUADAÑA TZB,01,Y600,HNL,2019-04-25,14000.0000,t,1000,2301,1123102001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600272,PP2019-167 PILA ALMAC. DE AGUA TZB,01,Y600,HNL,2019-04-26,370000.0000,t,1000,2301,1123102001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600211,PP2019-080 SUSTITUCION ROTOPLAS GE/TZB,01,Y600,HNL,2019-03-07,4300.0000,t,1000,2301,1123102001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600300,FP2019-023 BODEGA DE MATERIALES GE/TZB,01,Y600,HNL,2019-06-12,87000.0000,t,1000,2301,1123102001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601431,FP2023_135 TANQUES DE AGUA TZB/GE,01,Y600,HNL,2023-07-18,11000.0000,t,1000,2301,1123102001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600070,Cambio Postes y Reubicacion Tranf. GNA,01,Y600,HNL,2018-04-06,61174.2500,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600279,PP2019-074 ROTOTANQUE NA 1/4,01,Y600,HNL,2019-05-11,4300.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600280,PP2019-075 ROTOTANQUE NA 2/4,01,Y600,HNL,2019-05-11,4300.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600281,PP2019-076 ROTOTANQUE NA 3/4,01,Y600,HNL,2019-05-11,4300.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600282,PP2019-077 ROTOTANQUE NA 4/4,01,Y600,HNL,2019-05-11,4300.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600209,PP2019-073 SUSTITUCION ROTOPLAS GE/NA,01,Y600,HNL,2019-03-07,4300.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600215,PP2019-144 VENTILADORES 1/6 NA,01,Y600,HNL,2019-04-03,26250.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600216,PP2019-145 VENTILADORES 2/6 NA,01,Y600,HNL,2019-04-03,26250.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600217,PP2019-146 VENTILADORES 3/6 NA,01,Y600,HNL,2019-04-03,26250.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600218,PP2019-147 VENTILADORES 4/6 NA,01,Y600,HNL,2019-04-03,26250.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600219,PP2019-148 VENTILADORES 5/6 NA,01,Y600,HNL,2019-04-03,26250.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600220,PP2019-149 VENTILADORES 6/6 NA,01,Y600,HNL,2019-04-03,26250.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600353,PP2019_115 LAVADORA GR-NA/PAV,01,Y600,HNL,2019-08-20,15000.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600685,FP2020_065-5 RELOJ REC FACIAL NA/GE,01,Y600,HNL,2020-08-09,5650.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601108,FP2022_034 CALENTADOR DE AGUA /NUE-ALDEA,01,Y600,HNL,2022-05-31,37100.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601304,FP2023_035 BOMBA NORTH PRESION NA,01,Y600,HNL,2023-02-28,54300.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601116,FP2022_041 BANCO DE CAPACITORES NA/GE,01,Y600,HNL,2022-07-04,9780.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601785,FP2024_116 DESM. SHINDAWA GRJ NUEV ALDEA,01,Y600,HNL,2024-09-19,14700.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601929,FP2025_031 1 Lavdora de ropa Nueva Aldea,01,Y600,HNL,2025-03-24,12050.0000,t,1000,2302,1123103001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600265,PP2019-120 LETRINA LAVABLE GE/PB,01,Y600,HNL,2019-04-25,22000.0000,t,1000,2303,1123104001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600212,PP2019-081 SUSTITUCION ROTOPLAS GE/PB,01,Y600,HNL,2019-03-07,4300.0000,t,0001,2303,1123104001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600627,FP2020_053 BOMBA DE GASOLINA ENG/PB,01,Y600,HNL,2020-04-20,34200.0000,t,1000,2303,1123104001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600686,FP2020_065-6 RELOJ REC FACIAL PB/GE,01,Y600,HNL,2020-08-09,5650.0000,t,1000,2303,1123104001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601305,FP2023_036 BOMBA NORTH PRESION PB,01,Y600,HNL,2023-02-28,54300.0000,t,1000,2303,1123104001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601602,FP2024_007 SHINDAWA GRANJA PEÑA BLANCA,01,Y600,HNL,2024-02-05,15000.0000,t,1000,2303,1123104001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600356,PP2019_167 MOTOGUADAÑA LAR/ENG/PAV,01,Y600,HNL,2019-08-24,14000.0000,t,1000,2401,1123202001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601307,FP2023_038 BOMBA NORTH PRESION LARD,01,Y600,HNL,2023-02-28,30800.0000,t,1000,2401,1123202001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601907,FP2025_014 DESGUADAÑADORA C-35 LARDIZABA,01,Y600,HNL,2025-02-07,15000.0000,t,1000,2401,1123202001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601281,FP2023_021 DEMALEZADORA STHILL G.AVEN,01,Y600,HNL,2023-02-09,15134.0000,t,1000,2404,1123205001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600352,PP2019_116 LAVADORA GR-AV/PAV,01,Y600,HNL,2019-08-20,15000.0000,t,1000,2404,1123205001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601027,FP2022_009 DESGUAÑADORA C-35 GR AVENDAÑO,01,Y600,HNL,2022-03-02,13690.0000,t,1000,2404,1123205001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601306,FP2023_037 BOMBA NORTH PRESION AVE,01,Y600,HNL,2023-02-28,54300.0000,t,1000,2404,1123205001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601463,EQUIPO MULTI INVERSIONES W,01,Y600,HNL,2023-08-30,8760000.0000,t,1000,2612,1123311001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601467,SISTEMA DE BEBEDEROS LA ERMITA,01,Y600,HNL,2023-08-30,1.0000,t,1000,2612,1123311001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601469,SISTEMA DE VENTILACION LA ERMITA,01,Y600,HNL,2023-08-30,1.0000,t,1000,2612,1123311001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601464,CALENTADORES LA ERMITA,01,Y600,HNL,2023-08-30,1.0000,t,1000,2612,1123311001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601465,SISTEMA DE COMEDORES1 LA ERMITA,01,Y600,HNL,2023-08-30,1.0000,t,1000,2612,1123311001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601466,SISTEMA DE COMEDORES2 LA ERMITA,01,Y600,HNL,2023-08-30,1.0000,t,1000,2612,1123311001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601468,SISTEMA DE COMEDORES3 LA ERMITA,01,Y600,HNL,2023-08-30,1.0000,t,1000,2612,1123311001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601470,SISTEMA DE ILUMINACION LA ERMITA,01,Y600,HNL,2023-08-30,1.0000,t,1000,2612,1123311001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600007,SISTEMA DE ENFRIAMIENTO CHILLER PB,01,Y600,HNL,2018-04-02,12700000.0000,t,1001,4000,1131100001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600071,2 Comp. de Escritorio CO/PP,01,Y600,HNL,2018-04-09,34815.1000,t,1001,4000,1131700002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600075,"Succionador de Pulmones, PBEN,PP",01,Y600,HNL,2018-04-19,48500.0000,t,1001,4000,1131100001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600076,"Selladoras Neumaticas, EPQ,PP",01,Y600,HNL,2018-04-19,174000.0000,t,1001,4000,1131600001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600077,Mueble Acero Inox P/Comp. CO/PP,01,Y600,HNL,2018-04-24,14191.0000,t,1001,4000,1131700002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600081,Bomba Sumergible Franklin APP/PP,01,Y600,HNL,2018-04-24,109424.4300,t,1001,4000,1131800001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600100,Secadora para Uniformes CLPP/PP,01,Y600,HNL,2018-05-15,25000.0000,t,1001,4000,1131900001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601868,FP2024_189 COMPRESOR COPELAND PLANTA PRO,01,Y600,HNL,2024-12-06,87100.0000,t,1001,4000,1131700002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601869,FP2024_190 TRONZADORA DEWALT PLANTA PROC,01,Y600,HNL,2024-12-06,6600.0000,t,1001,4000,1131100001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601894,"PP2025_073 Biotrack, Bioface2 Planta Pro",01,Y600,HNL,2025-01-13,16675.0000,t,1001,4000,1131100001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600104,LAVADORA UNIFORMES DE PP,01,Y600,HNL,2018-06-07,13800.0000,t,1001,4000,1131900001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601781,FP2024_113  3BASCULAS DINI ACERO EMPAQUE,01,Y600,HNL,2024-09-02,132000.0000,t,1001,4000,1131600001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601782,FP2024_076_1  OBRA CIVIL Y ELECTR. CONGE,01,Y600,HNL,2024-09-02,3095100.0000,t,1001,4000,1131700002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600426,FP2019_060 PIST SUCC PULMONES PBEN/PP,01,Y600,HNL,2019-10-21,31000.0000,t,1001,4000,1131100001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601580,FP2024_001 BOMBA DOSI WALCHEN PP,01,Y600,HNL,2024-01-24,21000.0000,t,1001,4000,1131100001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601585,FP2024_004 MOBILIARIO ESCUELA PP,01,Y600,HNL,2024-01-25,25000.0000,t,1001,4000,1131800001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600123,"BODEGA DE EQUIPOS, PBEN/PP",01,Y600,HNL,2018-08-02,120585.0000,t,1001,4000,1131100001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600126,TUMBLER HENNEKEN 650 (NUEVO) DESH/PP,01,Y600,HNL,2018-08-10,943000.0000,t,1001,4000,1131200002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600131,"CAMARA DE MONITOREO, APP/PP",01,Y600,HNL,2018-08-28,3745.5500,t,1001,4000,1131800001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600143,BIOFACE CONTROL ASISTENCIA APP/PP,01,Y600,HNL,2018-09-24,14370.0000,t,1001,4000,1131800001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600251,PP2019-112 COMPUTADORA PORTATIL APP,01,Y600,HNL,2019-04-16,28600.0000,t,1001,4000,1131800001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600240,PP2019-012 REMODELACION REM PP,01,Y600,HNL,2019-04-16,60000.0000,t,1001,4000,1131100002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600246,PP2019-105 COMPUTADORA DE ESCRITORIO/APP,01,Y600,HNL,2019-04-16,20000.0000,t,1001,4000,1131800001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600892,FP2021_035 CORTADORA POLLO,01,Y600,HNL,2021-07-27,68700.0000,t,1001,4000,1131200001
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600893,FP2021_035_01 CORTADORA POLLO CORT,01,Y600,HNL,2021-07-27,68700.0000,t,1001,4000,1131200001
