codigo,descripcion,seccion_codigo,index
sofoctclac001,Clase de Activos Fijos,SC2MAESTR01,85
sofoctpago001,Manejo de Parámetros,SC4PARAME01,20
sofocttcno001,Maestro de Conceptos de Tecnología,SC4PARAME01,10
sofotxtcno001,Manejo de Gastos de Tecnología,SC2GASTOS01,
sofoctlogs001,Historial de Actividades,SC9MAUSER01,
sofotxgdal002,Consolidado de Gastos Distribuibles,SC5CONSOL01,
sofotxtcno002,Consulta de Gastos de Tecnología,SC5CONSOL01,
sofotxgarh002,Consulta de Gastos de RRHH,SC5CONSOL01,
sofoctgprd001,Importación de Costeo (Deprecada),SC3HISTOR01,
sofoctmabq002,Manejo de Bloqueos de Usuarios,SC9MAUSER01,
sofounipro001,Unidades de Producción,SC1CONFIG01,10
sofocthoru001,Maestro de Hojas de Ruta,SC2MAESTR01,65
sofoctprod001,Maestro de Productos,SC2MAESTR01,20
sofoctimlm001,Maestro de Lista de Materiales,SC2MAESTR01,70
sofoctasce001,Asociaciones de Centros y Unidades Productivas,SC2MAESTR01,55
sofoupmaup001,Maestro de Unidades de Producción,SC2MAESTR01,60
sofocttpgt001,Mantenimiento de Tipos de Gastos,SC2MAESTR01,
sofoctimga001,Importación Global de Gastos,SC3HISTOR01,10
sofotxcomi001,Manejo de Comisiones,SC2GASTOS01,
sofoupeqrp001,Manejo de Esquemas de Reparto de CeCos,SC2PARCOS01,
sofoupfaba001,Formulacion de Alimentos Balanceados,SC3PARPRO01,
sofoctrgpm001,Registro de Precio de Materiales,SC2PARCOS01,
sofouprqmp001,Requerimiento de Materia Prima (Compras),SC4MOVINV01,5
sofoupimab001,Importación de Consumo para Formulación ABA,SC3PARPRO01,
sofouprqpp001,Requerimiento de Producción Plantas Procesadoras,SC4MOVINV01,10
sofoupesco001,Esquema de Consumo,SC3PARPRO01,
sofoupcoma001,Consumo de Materiales de Formulas de Alimentos,SC4MOVINV01,15
sofoupcoma002,Consumo de Materiales Productivos,SC4MOVINV01,20
sofoupcoma003,Consumo de Materiales de Libras,SC4MOVINV01,25
sofouprqpa001,Requerimientos de Producción Avícola,SC4MOVINV01,30
sofotxinve001,Consulta Inversiones,SC1INVERS01,25
sofotxprin001,Proyecto de Inversión,SC1INVERS01,5
sofolpinve001,Inversiones,SC1CONFIG01,15
sofouptapr001,Cálculo de Tarifa Presupuestaria,SC4COSTEO01,10
sofoupinvp001,Inventario de Productos Terminados,SC4MOVINV01,35
sofotxninv001,Necesidades de Inversiones,SC1INVERS01,15
sofotxobpr001,Obras en Proceso,SC1INVERS01,10
sofoupagar001,Calculo de Agotamiento,SC4COSTEO01,20
sofoctprov001,Maestro de Proveedores,SC2MAESTR01,
sofotxpain001,Propuesta de pago inversión,SC1INVERS01,30
sofoupcopt001,Costeo de Productos Terminados,SC4COSTEO01,30
sofoupvind001,Variables para Indicadores de Produccion,SC3PARPRO01,0
sofoupinpr001,Indicadores de Produccion por Area,SC3PARPRO01,5
sofotxmaco001,Maestro de Colectores,SC2MAESTR01,
sofotxeepi001,Evaluación Económica de Proyectos,SC1INVERS01,20
sofouptras001,Traslado de Materiales,SC4MOVINV01,40
sofotxcaaf001,Capitalización de Activos Fijos,SC1INVERS01,35
sofotxdeaf001,Depreciación de Activos Fijos,SC1INVERS01,40
sofoupcwip001,Consulta de Cuentas WIP,SC4COSTEO01,40
sofoupcwip002,Costos para WIP,SC4COSTEO01,45
sofocttmup001,Asociaciones de Tipos de Material y Unidades Productivas,SC2MAESTR01,57
sofocttpgn001,Maestro de Tipo de Genetica,SC2MAESTR01,58
sofolpende001,Endeudamiento,SC1CONFIG01,20
sofoedgafi001,Maestro de Gastos Financieros,SC1ENDEUS01,5
sofoedlicr001,Maestro de Límite de Créditos,SC1ENDEUS01,10
sofoedprlh001,Prestamos de Línea Hipotecaria,SC1ENDEUS01,15
sofoedprlf001,Prestamos de Línea Fiduciaria,SC1ENDEUS01,20
sofoedprlp001,Prestamos de Línea Prendaria,SC1ENDEUS01,25
sofoedoten001,Otros Endeudamientos,SC1ENDEUS01,30
sofoedsafi001,Saldos en Financiamientos,SC1ENDEUS01,35
sofoeddeen001,Desembolsos por Endeudamientoes,SC1ENDEUS01,40
sofotxcoad001,Consolidado de Activos Fijos y Depreciaciones,SC5CONSOL01,
