createdat,createdby,modifiedat,modifiedby,codigo,descripcion,unidad,segmentonivel1_segmento_codigojerarquia,segmentonivel2_codigojerarquia,segmentonivel3_codigojerarquia,grupoproducto_codigo,tipomaterial_codigo,historico
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000017,PXB TROUW INICIO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000018,L-TREONINA,LB,"","","",MICRO002,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000021,ROBIMPEX,LB,"","","",MICRO009,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000022,FOS BAC,LB,"","","",MICRO003,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000023,SULFATO  DE COBRE,LB,"","","",MICRO014,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000024,MADURAMICINA,LB,"","","",MICRO009,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000025,ROVIMIX 1.3 PMX PRE INICIO POLLO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000026,ROVIMIX 1.3 PMX INICIO POLLO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000027,ROVIMIX 1.3 PMX FINALIZADOR POLLO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000028,ROVIMIX 1.3 PMX RETIRO POLLO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,18000070,CHICK VIT B,L,"","","",MEDIC013,GMED,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,18000071,VACUNA MULTIMUNE K5,DOS,"","","",VACUN015,GMED,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000029,ROVIMIX 1.3 PMX LEVANTE REPRODUCTORAS,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000030,ROVIMIX 1.3 PMX POSTURA REPRODUCTORAS,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000031,ROVIMIX GALLINA REPRODUCTORA,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000032,SALINOMICINA,LB,"","","",MICRO009,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000033,REPROCESO ALIMENTO PAVIPOLLO,LB,"","","",MACRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000034,FOSFATO MONODICALCICO,LB,20010,20010,20010,MACRO006,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000035,CELMANAX,LB,"","","",MICRO010,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000036,SALVADO DE TRIGO,LB,"","","",MACRO001,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000037,MN-GROW,LB,"","","",MICRO009,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000038,HARINA DE CARNE Y HUESO,LB,"","","",MACRO003,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000039,LIPOFIEED,LB,"","","",MICRO001,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000040,METHIONINA M.H.A 84%,LB,"","","",MICRO002,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000041,OXITETRACICLINA,LB,"","","",MICRO003,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000042,ZIBAGRAN/BACITRACINA,LB,"","","",MICRO010,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000043,CEN-X-185  CLOR TETRACICLINA,LB,"","","",MICRO003,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000044,HALQUINOL 60%,LB,"","","",MICRO010,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000045,CREAMINO,LB,"","","",MICRO001,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000046,UNIKE PLUS,LB,"","","",MICRO017,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000047,ADIMIX,LB,"","","",MICRO017,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000048,ROVIMIX 1.3 PMX PREINICIO QUELATADO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000049,ROVIMIX 1.3 PMX INICIO QUELATADO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000050,ROVIMIX 1.3 PMX FINAL QUELATADO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000051,ROVIMIX 1.3 PMX RETIRO QUELATADO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000052,ROVIMIX 1.3 PMX POSTURA REPRO MAXICHIK,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000053,VITAMINA C,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000054,DICLAZURIL,LB,"","","",MICRO009,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000055,ANCOFIT POULTRY,LB,"","","",MICRO017,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000056,HARINA DE PLUMA,LB,"","","",MACRO003,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000057,VALINA,LB,"","","",MICRO002,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000058,LINCO-SPECTIN,LB,"","","",MICRO003,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000059,MAXIBAN,LB,"","","",MICRO009,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000060,BEDGEN 40 PREMIX SFA,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000061,FUNGICIDA  P/TRATAMIENTO DE GRANOS,LB,"","","",MICRO014,XSUM,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000090,MITAD DE POLLO S/M PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000020,MAYA PARA PAVIPOLLO # 16,UN,"","","",EMPBO001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000037,ETIQUETAS 3X3 DURATRAN II PAPEL TT1920,UN,"","","",EMPET001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000042,ROLLO DE ETIQUETA POLIESTER BRILLANTE,ROL,"","","",EMPET001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000043,ETIQUETA LOGO CORTIJO 1-B NAVIDEÑA,UN,"","","",EMPET001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000046,"BOLSA TIPO CAMISETA MEDIANA 8"" X 18""",UN,"","","",EMPBO001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000048,ETIQUETA PARA POLLO SABOR BARBACOA,ROL,"","","",EMPET001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000050,NO USAR SUSTITUIDO POR (11000101),ROL,"","","",EMPET001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000059,"BOLSA TIPO CAMISETA GRANDE 11"" X 22""",UN,"","","",EMPBO001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000060,AGUJAS D5/25,UN,"","","",EMPAG001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000063,HILO,UN,"","","",EMPHL001,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,11000064,SACOS LISOS 24X38,UN,"","","",EMPSC007,XEMP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000000,ALIMENTO PREINICIO,LB,19010,19010,19010,ABAPL002,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000001,ALIMENTO INICIO,LB,19010,19010,19010,ABAPL002,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000002,ALIMENTO FINAL,LB,19010,19010,19010,ABAPL002,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000003,ALIMENTO RETIRO,LB,19010,19010,19010,ABAPL002,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000004,ALIMENTO INICIO REPRODUCTORA,LB,"","","",ABAFD001,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,70000510,REMACHE 3/16x3/4 PLG. 50PZS CAB. ANCHA,BOL,"","","",REPUE007,XREP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,70000481,ENCHUFE NEMA L1530,UN,"","","",REPUE048,XREP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,70000482,TOMA LEVITON NEMA L1530,UN,"","","",REPUE048,XREP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,70000483,MOTOR 10HP 1700RPM 230/460 V.60Hz,UN,"","","",REPUE051,XREP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,70000484,CONTACTOR 3PH 32 AMP BOBINA 230V,UN,"","","",REPUE048,XREP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,70000485,CONTACTOR 3PH 65 AMP BOBINA 230V,UN,"","","",REPUE048,XREP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,70000487,BORNERA TERMINAL ZAPATA P/CABLE 1/0 ,UN,"","","",REPUE048,XREP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,70000488,VARIADOR LS. 5HP 240V. # LSLV0037S100-2E,UN,"","","",REPUE046,XREP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000080,PUREGRO,LB,"","","",MICRO001,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,18000074,CHICK BOOSTER,L,"","","",MEDIC013,GMED,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,70000511,CONTACTO USA MARFIL DOBLE 15A 125V,UN,"","","",REPUE005,XREP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000005,ALIMENTO DESARROLLO 1,LB,"","","",ABAFD001,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000006,ALIMENTO DESARROLLO 2,LB,"","","",ABAFD001,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000007,ALIMENTO POSTURA 1,LB,"","","",ABAFP001,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000008,ALIMENTO POSTURA 2,LB,"","","",ABAFP001,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000009,ALIMENTO POSTURA 3,LB,"","","",ABAFP001,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000010,ALIMENTO PAVIPOLLO 1,LB,"","","",ABAFP001,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,12000011,ALIMENTO PAVIPOLLO 2,LB,"","","",ABAFP001,GABA,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000000,MATERIA PRIMA ALAS,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000001,MATERIA PRIMA CABEZAS,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000002,MATERIA PRIMA CARCASA,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000003,MATERIA PRIMA FILETE DE PECHUGA,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000004,MATERIA PRIMA FILETITO,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000005,MATERIA PRIMA GALLINA SIN TENDERIZAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000006,MATERIA PRIMA GALLINA DESHUESADA,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000007,MATERIA PRIMA HIGADOS,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000008,MENUDO PARA EMPAQUE,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000009,MATERIA PRIMA MOLLEJAS,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000010,MATERIA PRIMA MUSLITOS,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000011,MATERIA PRIMA MUSLO DE ALA,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000012,MATERIA PRIMA MUSLOS,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000013,MATERIA PRIMA PATAS,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000014,PAVIPOLLO PARA JAMONAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000015,PAVIPOLLO JAMONADO MAQUILADO,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000016,MATERIA PRIMA PECHUGA SIN ALA,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000017,MATERIA PRIMA PESCUEZOS,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000018,MATERIA PRIMA PIEL,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000019,MATERIA PRIMA PIERNAS,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000020,MATERIA PRIMA RECORTES DE FILETE,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000021,CARNE MOLIDA ESPECIAL CONGELADO,LB,21010,2101001005,2101001005,SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000022,MP POLLO TENDERIZADO,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000023,MP POLLO S/TENDERIZAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000024,POLLO PARA AHUMAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000025,POLLO AHUMADO MAQUILADO,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000026,POLLO PARA CORTE PRIMARIO,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000027,MATERIA PRIMA PARA PARTES DE 1 LIBRA,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000028,POLLO TENDERIZADO CON MENUDO,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000029,POLLO PARA CORTES,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000030,MP POLLO PARA CORTE TENDERIZADO,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000031,GALLINA TENDERIZADA,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000032,GALLINA TENDERIZADA CON MENUDO,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000033,PIERNAS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000034,ALAS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000035,BANDEJA DE ALAS PARA  CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000036,BANDEJA DE MUSLITO BOMBON PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000037,BANDEJA MUSLITO DE PIERNA PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000038,BANDEJA DE MUSLOS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000039,BANDEJA MUSLOS DESHUESADO PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,28000080,MINAS 0.7,UN,"","","",OFICI001,XPAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000040,BANDEJA FILETE DE PECHUGA PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000041,BANDEJA FILETITO DE PECHUGA PARA CONGELA,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000042,BANDEJA DE NUGGETS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000043,FILETE DE PECHUGA PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000044,FILETITO DE PECHUGA PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000045,NUGGETS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000046,MUSLITO DE PIERNAS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000047,POLLO DESHUESADO SIN PIEL PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000048,BANDEJA POLLO DESHUESADO PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000049,BANDEJA PECHUGA CON ALAS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000050,BANDEJA PECHUGA SIN ALAS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000051,BANDEJA ALAS BUFALO WINGS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000052,"ALAS BUFALO, PARA CONGELAR",LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000053,BANDEJA DE PIERNA PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000054,MUSLITO DE ALAS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000055,BANDEJAS CARNE MOLIDA PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000056,POLLO ENTERO BARBACOA PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000057,POLLO S/M(S/PTO)+PIERNA MUSLO PA CONGELA,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000058,CHORIRRICO/1 LB PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000059,PATAS DE PRIMERA PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000060,BANDEJA DE HIGADO PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000061,BANDEJA DE MOLLEJAS PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,13000062,CARCASA PARA CONGELAR,LB,"","","",SEMIE001,GSEL,t
