createdat,createdby,modifiedat,modifiedby,codigo,descripcion,plancuenta_codigo,observacionnota,indicadorcuenta,opcional,bloqueouser,bloqueoadmin,escenario,ejercicio
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCANTIGP,Bonificaciones por antigüedad (Productivo) (Mano de Obra Directa),6120515003,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONANTIGPI,Bonificaciones por antigüedad (Productivo) (Mano de Obra Indirecta),6220515003,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCANTIGO,Bonificaciones por antigüedad,7110515003,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCDECTRP,Decimotercer Mes (Productivo) (Mano de Obra Directa),6121005001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONDECTRPI,Decimotercer Mes (Productivo) (Mano de Obra Indirecta),6221005001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCDECTRO,Decimotercer Mes,7111005001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCDECCRP,Decimocuarto Mes (Productivo) (Mano de Obra Directa),6121005002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONDECCRPI,Decimocuarto Mes (Productivo) (Mano de Obra Indirecta),6221005002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCDECCRO,Decimocuarto Mes,7111005002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONBONESPD,Bono Escolar (Productivo) (Mano de Obra Directa),6121005005,,GTONOMIN,t,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONBONESPI,Bono Escolar (Productivo) (Mano de Obra Indirecta),6221005005,,GTONOMIN,t,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONBONESOP,Bono Escolar,7111005005,,GTONOMIN,t,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCIHSSPD,Aportes IHSS (Productivo) (Mano de Obra Directa),6121010001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCIHSSPI,Aportes IHSS (Productivo) (Mano de Obra Indirecta),6221010001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCAIHSSO,Aportes IHSS,7111010001,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONHREXPPD,Horas Extras Permanentes (Productivo) (Mano de Obra Directa),6120510001,,HRSEXTRAS,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONHREXTPD,Horas Extras Temporales (Productivo) (Mano de Obra Directa),6120510002,,HRSEXTRAS,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONHREXPPI,Horas Extras Permanentes (Productivo) (Mano de Obra Indirecta),6220510001,,HRSEXTRAS,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONHREXTPI,Horas Extras Temporales (Productivo) (Mano de Obra Indirecta),6220510002,,HRSEXTRAS,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCHREXPO,Horas Extras Permanentes,7110510001,,HRSEXTRAS,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCHREXTO,Horas Extras Temporales,7110510002,,HRSEXTRAS,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCCOMISO,Comisiones,7110520001,,GTONODIST,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCFINQUP,Finiquitos Laborales (Productivo) (Mano de Obra Directa),6121005004,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONFINQUOI,Finiquitos Laborales (Productivo) (Mano de Obra Indirecta),6221005004,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCFINQUO,Finiquitos Laborales,7111005004,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCINFOPP,Aportes INFOP (Productivo) (Mano de Obra Directa),6121010002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONINFOPPI,Aportes INFOP (Productivo) (Mano de Obra Indirecta),6221010002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCINFOPO,Aportes INFOP,7111010002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCSEGVIP,Seguro de Vida (Productivo),6230505002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCSEGVIO,Seguro de Vida (Operativo),7111510002,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCAFPATO,Aportes AFP - Atlantida (Operativo),7111510006,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCAFPATP,Aportes AFP - Atlantida (Productivo),6230505006,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCRAPFOP,Aporte RAP-FOSOVI (Productivo) (Mano de Obra Directa),6121010006,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONRAPFOPI,Aporte RAP-FOSOVI (Productivo) (Mano de Obra Indirecta),6221010006,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,CONCRAPFOO,Aporte RAP-FOSOVI,7111010006,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,PRIMAANTPD,Prima Por Antigüedad (Personal Directo),6121010004,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,PRIMAANTPI,Prima Por Antigüedad (Personal Indirecto),6221010004,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,PRIMAANTPO,Prima Por Antigüedad (Personal Operativo),7111010004,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,RAPFOVIFPD,Aporte RAP-FOVIIF (Personal Directo),6121010007,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,RAPFOVIFPI,Aporte RAP-FOVIIF (Personal Indirecto),6221010007,,GTONOMIN,f,f,f,0,
2025-07-21 14:19:11.872,anonymous,2025-07-21 14:19:11.872,anonymous,RAPFOVIFPO,Aporte RAP-FOVIIF (Personal Operativo),7111010007,,GTONOMIN,f,f,f,0,
