createdat,createdby,modifiedat,modifiedby,empleado_codigo,concepto_codigo
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10134,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10135,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10137,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10141,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10144,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10150,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10156,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10158,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10159,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10163,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10165,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10166,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10167,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10171,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10172,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10173,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10176,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10178,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10181,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10182,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10183,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10184,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10185,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10187,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10193,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10195,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10205,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10213,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10215,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10218,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10221,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10223,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10224,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10228,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10231,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10232,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10236,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10241,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10244,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10247,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10249,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10256,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10281,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10329,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10338,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10354,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10355,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10356,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10359,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10362,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10363,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10374,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10375,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10381,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10397,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10401,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10405,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10411,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10419,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10428,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10435,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10440,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10441,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10446,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10455,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10456,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10466,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10469,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10482,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10528,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10579,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10611,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10616,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10638,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10651,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10652,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10666,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10676,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10683,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10686,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10714,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10744,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10748,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10755,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10760,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10762,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10766,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10771,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10775,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10781,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10785,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10788,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10792,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10797,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10800,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10817,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10832,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10852,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10858,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10865,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10885,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10886,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10887,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10901,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10931,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10946,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10962,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10966,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10991,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10996,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11000,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11004,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11008,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11027,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11028,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11031,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11033,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11048,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11054,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11057,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11063,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11069,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11073,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11074,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11101,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11102,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11110,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11120,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11123,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11130,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11138,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11139,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11140,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11168,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11180,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11208,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11221,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11239,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11247,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11273,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11288,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11299,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11308,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11313,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11316,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11326,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11336,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11337,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11342,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11343,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11348,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11350,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11360,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11363,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11372,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11377,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11383,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11392,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11399,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11408,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11434,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11445,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11447,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11460,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11470,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11474,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11478,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11479,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11495,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11496,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11500,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11516,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11521,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11529,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11542,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11558,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11569,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11571,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11594,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11596,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11598,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11602,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11604,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11624,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11625,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11642,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11643,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11653,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11658,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11671,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11673,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11677,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11680,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11694,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11717,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11724,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11725,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11729,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11734,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11743,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11751,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11755,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11763,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11771,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11772,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11782,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11787,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11801,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11809,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11842,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11859,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11862,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11880,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11884,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,11893,CONBONESPD
